Model,Best_Alpha,CV_R2_Mean,CV_R2_Std,CI_Lower,CI_Upper,Test_R2,Test_RMSE,Test_MAE
Linear Regression,,0.9140043272801147,0.017639163830405567,0.8794315661725198,0.9485770883877096,0.9264802970262017,4.8314831794839,2.834738839384403
Lasso Regression,0.01,0.914015154097412,0.017716693076073004,0.8792904356683089,0.948739872526515,0.9268307513856797,4.819954045760121,2.8352736479550895
