Model,Best_Alpha,CV_R2_Mean,CV_R2_Std,CI_Lower,CI_Upper,Test_R2,Test_RMSE,Test_MAE
Linear Regression,,0.5344191696874104,0.0456730054209201,0.44490007906240703,0.6239382603124138,0.5629140837571656,2.54328613479915,1.5070939941066264
Lasso Regression,0.01,0.534577412260186,0.04584725913112557,0.44471678436317985,0.6244380401571921,0.5644565689442578,2.5387945140050765,1.5005622647470152
